Ψ / °,∆ / °,Filmdicke / nm,Probe
28.8479,175.8536,5.2826,SiO2-Schichten auf Si
29.0279,162.821,23.0023,SiO2-Schichten auf Si
31.0877,144.2351,51.4055,SiO2-Schichten auf Si
33.9705,133.7574,72.7511,SiO2-Schichten auf Si
39.7496,128.3295,92.0783,SiO2-Schichten auf Si
45.7468,130.2244,103.0242,SiO2-Schichten auf Si
29.5879,196.2043,238.0943,SiO2-Schichten auf Si
31.675,222.8127,197.2465,SiO2-Schichten auf Si
55.5865,217.5981,144.2024,SiO2-Schichten auf Si
42.7681,129.0558,98.157,SiO2-Schichten auf Si
30.8323,146.1734,48.1613,SiO2-Schichten auf Si
26.6578,192.6065,1.2458,Cu-Schichten auf Si
36.1529,167.9747,11.3257,Cu-Schichten auf Si
40.5495,147.513,25.6165,Cu-Schichten auf Si
40.8345,133.7104,22.4372,Cu-Schichten auf Si
42.026,129.6089,21.2457,Cu-Schichten auf Si
41.5886,130.7363,24.9721,Cu-Schichten auf Si
29.551,175.9557,56.1475,Cu-Schichten auf Si
